x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,7.957616007887534e-07,2.7773007104528003e-07,4.300157129063205e-06,1.3466024136930042e-06
-6.3849,-1.5323760000000002,3.432248336455454e-06,5.472517093463937e-07,1.6701375530578708e-05,2.5609963394187783e-06
-6.3849,-1.27698,8.975486384472992e-06,8.965494541577185e-07,6.190485275488787e-05,5.705875714816671e-06
-6.3849,-1.0215839999999998,1.378975723512081e-05,1.1715662029756214e-06,8.610099731544185e-05,6.557550003063604e-06
-6.3849,-0.7661879999999996,1.3199255255208944e-05,1.1837083403008186e-06,9.090567704404259e-05,6.8323530990437385e-06
-6.3849,-0.5107919999999995,1.647685304274406e-05,1.280359547356375e-06,0.0001114971163276392,7.850924719874098e-06
-6.3849,-0.2553959999999993,1.7743808660634175e-05,1.3068540172056417e-06,0.00011320513715368897,7.754365364608157e-06
-6.3849,0.0,1.7061265238603597e-05,1.3097941806343082e-06,0.00011580031524234439,7.776247271056263e-06
-6.3849,0.2553960000000002,1.882106085222398e-05,1.4280362528619263e-06,0.00010800077174261042,7.125251457612084e-06
-6.3849,0.5107920000000004,1.8413604868586412e-05,1.4742180170385432e-06,0.00011040828922767496,7.491039573267333e-06
-6.3849,0.7661880000000005,1.378644153217596e-05,1.147395582541118e-06,8.799855265284083e-05,6.666026362833798e-06
-6.3849,1.0215840000000007,1.0431075133414583e-05,9.595371248352012e-07,6.930270105366246e-05,5.589478932416076e-06
-6.3849,1.27698,7.261540158516395e-06,8.321152298912869e-07,5.2001550916621424e-05,5.192784188531683e-06
-6.3849,1.5323760000000002,4.361962113162126e-06,6.232115445344987e-07,2.620102945536294e-05,3.6011371010442883e-06
-6.3849,1.7877720000000004,1.0463017740771077e-06,3.3566380493587687e-07,5.100422055090399e-06,1.4652102918840042e-06
-6.3849,2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,2.2985640000000007,0.0,0.0,0.0,0.0
-6.3849,2.55396,0.0,0.0,0.0,0.0
-6.3849,2.809356000000001,0.0,0.0,0.0,0.0
-6.3849,3.0647520000000004,0.0,0.0,0.0,0.0
-6.3849,3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,3.5755440000000007,0.0,0.0,0.0,0.0
-6.3849,3.83094,0.0,0.0,0.0,0.0
-6.3849,4.086336000000001,0.0,0.0,0.0,0.0
-6.3849,4.341732,0.0,0.0,0.0,0.0
-6.3849,4.597128,0.0,0.0,0.0,0.0
-6.3849,4.852524000000001,0.0,0.0,0.0,0.0
-6.3849,5.10792,0.0,0.0,0.0,0.0
-6.3849,5.363316000000001,0.0,0.0,0.0,0.0
-6.3849,5.618712,0.0,0.0,0.0,0.0
-6.3849,5.874108000000001,0.0,0.0,0.0,0.0
-6.3849,6.129504000000001,0.0,0.0,0.0,0.0
-6.3849,6.3849,0.0,0.0,0.0,0.0
-6.129504,-6.3849,0.0,0.0,0.0,0.0
-6.129504,-6.129504,0.0,0.0,0.0,0.0
-6.129504,-5.874108,0.0,0.0,0.0,0.0
-6.129504,-5.618712,0.0,0.0,0.0,0.0
-6.129504,-5.363316,0.0,0.0,0.0,0.0
-6.129504,-5.10792,0.0,0.0,0.0,0.0
-6.129504,-4.852524,0.0,0.0,0.0,0.0
-6.129504,-4.597128,0.0,0.0,0.0,0.0
-6.129504,-4.341732,0.0,0.0,0.0,0.0
-6.129504,-4.086335999999999,0.0,0.0,0.0,0.0
-6.129504,-3.83094,0.0,0.0,0.0,0.0
-6.129504,-3.575544,0.0,0.0,0.0,0.0
-6.129504,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.129504,-3.064752,0.0,0.0,0.0,0.0
-6.129504,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.129504,-2.55396,3.4838722803016143e-07,1.489005756181261e-07,3.3997095154169813e-06,1.0531866761133255e-06
-6.129504,-2.298564,5.2638682527738325e-06,6.484845451282606e-07,3.8201311177815593e-05,4.176049795039114e-06
-6.129504,-2.0431679999999997,1.1352322851279684e-05,1.0792699098115999e-06,7.18970871572342e-05,6.392320424397935e-06
-6.129504,-1.7877719999999995,1.633216001564204e-05,1.199862819131145e-06,0.00010981270100904575,7.66403089391223e-06
-6.129504,-1.5323760000000002,2.0989467589064607e-05,1.4158687907170343e-06,0.0001376053401637769,8.746474306641157e-06
-6.129504,-1.27698,2.3619066369114437e-05,1.5372973445772449e-06,0.0001511056399268667,8.809035806065525e-06
-6.129504,-1.0215839999999998,2.199802513367823e-05,1.431438018570863e-06,0.00015130305112458304,8.915858421401297e-06
-6.129504,-0.7661879999999996,2.569602746162086e-05,1.6461226001254234e-06,0.0001581936084396816,9.01994179010216e-06
-6.129504,-0.5107919999999995,2.2840495755257817e-05,1.461031065241259e-06,0.00014920021933408404,8.429270186729306e-06
-6.129504,-0.2553959999999993,2.5715873108350576e-05,1.5494857714837036e-06,0.00016110801230418233,8.80105166521277e-06
