x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,7.957616007887533e-07,2.7773007104528003e-07,4.300157129063205e-06,1.346602413693004e-06
-6.3849,-1.5323760000000002,3.4322483364554534e-06,5.472517093463937e-07,1.6701375530578705e-05,2.5609963394187774e-06
-6.3849,-1.27698,8.975486384472994e-06,8.965494541577184e-07,6.190485275488787e-05,5.7058757148166715e-06
-6.3849,-1.0215839999999998,1.3789757235120809e-05,1.1715662029756214e-06,8.610099731544184e-05,6.557550003063605e-06
-6.3849,-0.7661879999999996,1.3199255255208941e-05,1.1837083403008188e-06,9.090567704404259e-05,6.8323530990437385e-06
-6.3849,-0.5107919999999995,1.6476853042744057e-05,1.2803595473563747e-06,0.00011149711632763919,7.850924719874098e-06
-6.3849,-0.2553959999999993,1.7743808660634175e-05,1.3068540172056417e-06,0.00011320513715368898,7.754365364608155e-06
-6.3849,0.0,1.7061265238603597e-05,1.3097941806343082e-06,0.00011580031524234439,7.776247271056263e-06
-6.3849,0.2553960000000002,1.8821060852223978e-05,1.4280362528619263e-06,0.00010800077174261042,7.1252514576120836e-06
-6.3849,0.5107920000000004,1.8413604868586416e-05,1.4742180170385428e-06,0.00011040828922767495,7.491039573267333e-06
-6.3849,0.7661880000000005,1.378644153217596e-05,1.147395582541118e-06,8.799855265284083e-05,6.666026362833797e-06
-6.3849,1.0215840000000007,1.0431075133414585e-05,9.595371248352012e-07,6.930270105366246e-05,5.589478932416076e-06
-6.3849,1.27698,7.261540158516395e-06,8.321152298912869e-07,5.2001550916621424e-05,5.192784188531684e-06
-6.3849,1.5323760000000002,4.3619621131621255e-06,6.232115445344986e-07,2.6201029455362932e-05,3.601137101044288e-06
