lower_edges,upper_edges,mean,sigma
1e-06,1.358345661446175e-06,3.368413331932788e-09,8.357574123403089e-10
1.358345661446175e-06,1.8451029359696463e-06,4.5783928532616195e-09,9.923045073912965e-10
1.8451029359696463e-06,2.506287567995974e-06,6.340256657714825e-09,1.2164209512090782e-09
2.506287567995974e-06,3.4044048443238158e-06,1.7416919527895123e-08,1.890461219603607e-09
3.4044048443238158e-06,4.624358550093595e-06,2.3064737873545943e-08,2.1341099061700065e-09
4.624358550093595e-06,6.281477373491172e-06,4.9005996747715423e-08,3.266792992083236e-09
6.281477373491172e-06,8.532417537754048e-06,8.083033381969588e-08,8.132529063520645e-09
8.532417537754048e-06,1.1589972344055465e-05,1.1877854841537018e-07,5.290090830922064e-09
1.1589972344055465e-05,1.5743188649828894e-05,2.0888934621462338e-07,1.3293278501137044e-08
1.5743188649828894e-05,2.1384691999823743e-05,4.477285403636009e-07,2.40889891227549e-08
2.1384691999823743e-05,2.9047803599323368e-05,7.827406611931056e-07,2.8135328260105907e-08
2.9047803599323368e-05,3.945695799368148e-05,1.4112642336069403e-06,3.586067320137276e-08
3.945695799368148e-05,5.359618770458121e-05,2.728525595851391e-06,6.12462657764787e-08
5.359618770458121e-05,7.280214903857285e-05,9.507574057437308e-06,4.656485171659972e-06
7.280214903857285e-05,9.889048329050325e-05,9.048733897896358e-06,1.3159731986990437e-07
9.889048329050325e-05,0.00013432745893597053,2.3467638525619607e-05,6.534985544674575e-06
0.00013432745893597053,0.0001824631210587648,3.114165950615232e-05,2.560365324991566e-07
0.0001824631210587648,0.0002478479888641016,5.7376651788348684e-05,3.8142758653356376e-07
0.0002478479888641016,0.0003366632403717126,0.0001068404680451578,5.498877258769834e-07
0.0003366632403717126,0.00045730505192732656,0.00019766578920886427,7.953847886976188e-07
0.00045730505192732656,0.0006211783332429017,0.000364181735627655,1.0851971447835146e-06
0.0006211783332429017,0.0008437748939448626,0.0006759902233501962,1.61835486242923e-06
0.0008437748939448626,0.0011461379664272117,0.00125954607913425,1.7800316047050847e-05
0.0011461379664272117,0.0015568515341151446,0.002307267983209431,2.1604534258632877e-05
0.0015568515341151446,0.0021147425268811283,0.004245257364173977,3.244558593923955e-05
0.0021147425268811283,0.0028725513364647043,0.0078099325771340145,5.862778382068865e-05
0.0028725513364647043,0.0039019176451682465,0.014172986573918833,8.340161238368842e-05
0.0039019176451682465,0.005300152904634563,0.025335787109715173,0.000100333760967563
0.005300152904634563,0.007199439703011701,0.044778372850734674,0.00010860721638365452
0.007199439703011701,0.009779327685429292,0.07833088171725384,0.00017522630140892438
0.009779327685429292,0.013283707333363355,0.13376133051052216,0.00026977927885120227
0.013283707333363355,0.01804386622419485,0.21983199093191963,0.0003132016369343115
0.01804386622419485,0.02450980740135025,0.34616518724035233,0.00041524706408243407
0.02450980740135025,0.033292790546505455,0.5121015439600025,0.0005603935993335939
0.033292790546505455,0.045223117596282,0.6918869860193775,0.0006709377068446688
0.045223117596282,0.06142862558397983,0.8305509229804026,0.0007088573360189711
0.06142862558397983,0.0834413070506005,0.8600957236459172,0.0007392642731443973
0.0834413070506005,0.11334213741758155,0.7647966503262612,0.0007336164265436828
0.11334213741758155,0.15395780062020806,0.6021408260768658,0.0006428792779011836
0.15395780062020806,0.20912791051825483,0.4634299851450055,0.0005363431022788125
0.20912791051825483,0.28406798993977533,0.3898658227504411,0.000527793209601344
0.28406798993977533,0.38586252169042945,0.3693515541269215,0.0005142942143687317
0.38586252169042945,0.5241346822528765,0.37253498903571225,0.00054211306365521
0.5241346822528765,0.7119560716516642,0.3663629360110709,0.0004652842681340653
0.7119560716516642,0.9670824410683001,0.35650283492457413,0.0004886973206500956
0.9670824410683001,1.3136322380859042,0.3487731797825723,0.0005349932355959083
